costos,tiempos,penalidades,costos-horas-extra,costos-distancia
120710.80000000002,269126,37300.0,4220.800000000001,79190.0
127398.4,279607,40540.0,4326.4,82532.0
123423.99999999999,297982,40720.0,4032.0,78672.0
123758.20000000001,290820,42040.0,4063.2000000000007,77655.0
128253.80000000003,294717,43200.0,4192.8,80861.0
126463.93333333333,295184,41940.0,4146.933333333333,80377.0
127408.6,299229,42880.0,4205.6,80323.0
117779.39999999997,274096,37360.0,4088.399999999999,76331.0
127899.60000000002,270194,43500.0,4207.6,80192.0
119449.59999999998,271868,38380.0,3995.6000000000004,77074.0
127251.4,258806,42880.0,4240.4,80131.0
123961.79999999999,255365,40940.0,4172.8,78849.0
119031.19999999997,255054,39340.0,3885.2000000000007,75806.0
123616.19999999998,255256,42140.0,3947.2,77529.0
126744.80000000003,255133,41240.0,4346.799999999999,81158.0
124114.4,255044,41500.0,4064.4,78550.0
122894.20000000001,255016,40720.0,4037.199999999999,78137.0
125229.20000000003,255032,41360.0,4157.200000000001,79712.0
125985.2,255147,41960.0,4143.2,79882.0
124104.00000000003,254944,40620.0,4146.000000000001,79338.0
126360.0,253466,41840.0,4128.000000000001,80392.0
122022.0,255193,40200.0,4069.9999999999995,77752.0
125628.0,259634,40380.0,4257.999999999999,80990.0
123164.80000000002,246758,39740.0,4164.8,79260.0
123013.0,259292,41800.0,4061.9999999999995,77151.0
122116.99999999999,254865,40220.0,4052.0000000000005,77845.0
123753.99999999999,254464,39700.0,4128.0,79926.0
125267.2,254506,40780.0,4193.199999999999,80294.0
125260.2,254627,41580.0,4147.200000000001,79533.0
122481.00000000001,254904,40740.0,4180.0,77561.0
124159.0,254652,43100.0,4057.999999999999,77001.0
120392.00000000001,254508,39200.0,3993.9999999999995,77198.0
124264.59999999999,249142,40540.0,4187.599999999999,79537.0
124662.80000000003,256706,41120.0,4198.799999999999,79344.0
121755.40000000001,250589,39020.0,4190.4,78545.0
125798.59999999999,256333,41340.0,4109.6,80349.0
120847.2,252497,40520.0,3927.2000000000007,76400.0
127898.40000000001,248846,42060.0,4290.400000000001,81548.0
122015.8,246904,40140.0,3996.800000000001,77879.0
125743.39999999998,250911,42620.0,4106.4,79017.0
