Number of products to send: 100
Start Cost: 6574.895562574726
Initial population
3,85,83,50,15,92,28,52,49,37,38,98,65,91,25,66,11,99,16,73,6,62,5,72,60,61,94,39,12,93,32,82,26,75,77,79,74,41,54,7,56,67,19,64,44,47,81,57,53,48,88,89,17,21,27,69,76,84,40,68,2,58,0,86,95,46,43,70,31,24,97,45,10,87,36,20,80,4,14,8,13,55,96,30,90,71,78,22,59,29,1,34,35,51,63,42,9,23,18,33,10,10,58,22,
96,69,72,11,99,67,8,16,35,1,15,86,71,29,57,34,19,49,27,65,10,85,45,82,12,32,38,84,58,48,26,0,14,22,31,74,4,28,68,75,53,21,89,97,18,81,61,42,91,44,20,98,47,3,50,6,2,73,92,13,59,83,43,64,40,9,66,80,60,77,56,24,36,52,87,46,79,93,63,33,94,54,51,23,25,95,55,70,41,37,17,88,76,7,90,5,39,78,30,62,10,10,51,29,
69,97,62,59,51,16,92,18,80,84,90,30,24,73,52,9,0,67,50,31,68,76,22,71,55,72,83,4,2,36,17,40,43,8,26,10,74,11,65,60,45,96,20,87,70,12,19,15,23,7,14,91,94,39,79,54,33,27,35,78,66,75,28,56,93,58,38,81,98,86,21,41,32,53,6,95,77,5,25,46,82,3,89,13,44,88,99,85,47,34,48,1,49,64,37,42,61,57,63,29,10,10,60,20,
7,77,60,24,89,54,93,46,52,66,70,14,3,91,39,42,0,10,59,97,76,6,21,33,99,40,83,48,81,58,87,82,92,35,28,98,71,29,16,86,37,32,2,11,94,25,19,18,62,22,64,13,63,57,51,53,56,38,79,68,20,84,65,9,95,50,45,80,8,47,31,75,17,73,23,88,34,72,12,49,69,43,74,96,67,26,30,36,15,78,27,4,55,85,1,44,90,5,61,41,10,10,58,22,
62,17,39,5,71,32,98,24,2,87,10,65,58,35,19,49,95,68,77,15,9,52,83,44,25,42,57,46,48,34,74,85,29,50,37,73,75,69,7,20,60,30,99,22,33,8,63,94,55,43,6,89,41,79,86,0,13,91,53,40,31,80,72,64,78,23,67,90,51,38,70,59,27,76,12,36,28,47,93,82,54,84,11,92,66,56,61,18,16,45,3,1,4,14,88,21,26,97,96,81,10,10,49,31,
55,70,14,83,50,16,95,0,17,72,91,36,78,46,12,19,37,25,8,10,89,38,28,84,42,60,81,34,59,49,67,45,68,35,41,9,97,62,1,51,47,73,65,75,88,21,33,23,85,94,54,3,40,93,32,66,99,48,43,6,87,69,92,52,96,86,20,77,18,63,39,64,56,26,44,79,31,15,11,76,82,29,80,57,71,2,74,30,4,7,5,53,61,27,90,58,22,98,13,24,10,10,56,24,
42,19,89,5,41,66,11,49,86,84,54,16,12,13,81,33,22,58,65,38,6,36,88,73,15,82,18,29,47,26,78,64,56,62,28,52,85,55,4,69,1,2,39,43,68,57,91,21,53,59,80,83,35,3,76,60,17,50,99,23,79,46,90,77,40,61,92,48,14,45,0,25,9,94,95,32,74,30,96,24,7,67,20,37,97,44,10,51,8,34,72,71,27,93,98,87,63,31,70,75,10,10,56,24,
5,13,74,97,10,52,8,92,84,34,61,0,63,4,2,62,89,32,58,22,1,73,72,51,60,18,9,86,87,55,70,33,46,24,31,75,57,99,25,94,80,17,96,68,56,65,19,28,16,35,41,37,69,49,15,3,23,54,38,91,78,95,79,43,59,45,36,53,20,14,26,21,81,27,47,7,66,44,88,42,90,71,48,50,11,82,67,40,12,6,30,98,93,85,76,83,77,29,64,39,10,10,56,24,
80,48,57,88,79,29,53,18,16,12,43,45,5,26,4,82,34,74,61,30,31,86,19,37,21,56,22,10,60,62,27,50,51,38,68,1,35,65,9,99,95,24,98,33,0,96,90,7,11,42,6,28,39,93,72,78,67,94,3,15,77,13,52,59,63,8,23,47,64,55,97,84,36,89,85,32,49,83,2,81,76,87,70,25,91,41,73,69,75,46,58,44,14,54,71,20,17,66,40,92,10,10,62,18,
65,83,30,8,85,52,89,25,6,33,21,55,69,75,1,72,71,11,68,18,42,46,39,13,36,41,54,94,17,57,45,26,14,76,38,66,10,62,95,91,34,31,51,24,5,79,58,4,77,53,7,87,15,49,98,19,48,60,84,80,0,64,35,90,3,22,86,9,74,61,29,73,63,16,56,59,44,32,97,92,43,2,20,99,81,50,23,27,67,78,93,12,82,88,70,37,40,96,28,47,10,10,57,23,
91,27,89,33,76,72,71,80,16,86,73,46,34,60,51,22,50,42,70,98,58,18,77,24,6,44,14,4,30,36,28,92,29,37,21,68,95,99,15,52,85,39,96,67,61,1,5,7,13,20,3,87,63,54,84,10,93,81,23,78,12,83,35,49,47,79,0,65,38,31,26,17,25,8,74,9,45,2,90,69,53,88,64,66,55,41,32,11,94,48,82,43,97,40,19,75,59,62,57,56,10,10,50,30,
11,42,7,15,75,46,81,95,99,67,82,63,70,2,39,22,35,27,80,97,36,8,14,48,68,16,79,28,20,60,4,94,57,98,24,64,93,62,10,9,45,96,18,90,3,52,51,54,83,78,6,5,41,43,89,19,21,25,49,88,71,65,17,72,84,26,73,33,55,47,66,34,31,69,91,37,85,12,30,86,92,77,38,76,74,0,23,61,1,53,56,50,59,44,87,29,58,40,13,32,10,10,53,27,
63,48,40,25,47,58,87,5,97,56,42,55,11,90,94,70,73,35,18,34,93,57,62,72,13,61,26,92,52,79,66,9,41,22,7,20,45,80,29,74,53,91,86,31,83,68,32,71,81,38,19,16,99,14,49,24,84,2,46,43,36,4,54,95,44,50,75,10,78,82,59,12,76,28,3,0,30,51,65,1,27,37,77,15,33,17,60,39,69,89,98,67,6,64,23,85,21,88,96,8,10,10,54,26,
74,42,65,21,60,41,81,67,93,30,28,12,73,35,83,58,27,86,51,26,47,22,16,31,3,8,71,37,49,0,54,23,59,63,84,98,88,76,13,64,18,7,85,17,91,92,34,1,78,14,96,97,40,56,48,38,90,33,52,45,89,77,87,82,4,39,20,95,19,55,75,66,80,36,53,50,24,72,99,62,57,70,9,11,69,32,68,94,43,10,15,61,29,25,46,44,79,6,5,2,10,10,56,24,
55,87,67,31,80,21,44,46,18,22,14,76,11,32,60,40,82,56,53,62,16,25,48,66,12,23,72,77,65,93,37,33,71,64,7,17,2,69,34,50,52,49,36,15,98,20,94,90,0,42,24,59,47,28,51,73,1,43,61,27,81,26,74,85,78,9,58,19,8,3,84,10,70,13,29,95,97,39,89,5,96,88,54,63,4,45,79,86,91,92,75,57,30,38,6,68,83,41,99,35,10,10,52,28,
